net,length_um
rvcpu.dp.plmw.PCPlus4W\[14\],67.16
_06176_,67.06
datamem.data_ram\[18\]\[6\],67.01
clknet_1_0__leaf__10078_,66.98
datamem.data_ram\[24\]\[7\],66.975
_09078_,66.96
_13415_,66.96
_09114_,66.94
_01034_,66.835
_13456_,66.82
_09201_,66.78
_12066_,66.78
rvcpu.dp.rf.reg_file_arr\[16\]\[2\],66.68
_11436_,66.66
_09062_,66.64
clknet_leaf_192_clk,66.64
_12007_,66.57
clknet_leaf_252_clk,66.52
_08074_,66.5
rvcpu.ALUResultE\[20\],66.5
clknet_leaf_238_clk,66.5
clknet_leaf_202_clk,66.48
clknet_leaf_170_clk,66.44
_13009_,66.43
clknet_1_0__leaf__10200_,66.36
_07359_,66.34
_08880_,66.32
_09229_,66.32
clknet_leaf_207_clk,66.32
clknet_leaf_275_clk,66.32
clknet_leaf_166_clk,66.28
_05930_,66.26
_06358_,66.2
_06137_,66.16
clknet_1_1__leaf__10196_,66.13
clknet_leaf_161_clk,66.12
_07442_,65.92
_08713_,65.92
_01125_,65.905
clknet_leaf_245_clk,65.9
_09128_,65.82
rvcpu.ALUResultE\[27\],65.82
clknet_leaf_256_clk,65.82
_05222_,65.73
clknet_leaf_49_clk,65.68
_11535_,65.66
_11288_,65.62
net13,65.62
clknet_0__10103_,65.59
_05527_,65.58
_05587_,65.58
_09720_,65.52
_08238_,65.5
_13440_,65.45
_09029_,65.4
clknet_1_1__leaf__10091_,65.38
_13455_,65.36
datamem.data_ram\[1\]\[12\],65.36
clknet_leaf_57_clk,65.34
_13031_,65.28
clknet_1_0__leaf__10090_,65.28
_11543_,65.26
_13500_,65.25
_13525_,65.25
_04443_,65.22
_11158_,65.145
clknet_leaf_99_clk,65.14
datamem.data_ram\[16\]\[5\],65.12
clknet_leaf_232_clk,65.1
_05782_,65.08
_11953_,65.08
_08732_,65.075
datamem.data_ram\[5\]\[11\],64.96
net4,64.88
_06418_,64.8
_07274_,64.78
_09876_,64.76
_01149_,64.725
_05473_,64.64
_12188_,64.64
_11786_,64.62
_05889_,64.6
_10110_,64.57
datamem.data_ram\[2\]\[16\],64.56
_06364_,64.52
_05410_,64.505
rvcpu.dp.rf.reg_file_arr\[21\]\[27\],64.42
_07805_,64.36
_09947_,64.36
rvcpu.dp.rf.reg_file_arr\[7\]\[24\],64.36
_07411_,64.34
_09264_,64.3
_05436_,64.25
datamem.data_ram\[2\]\[2\],64.18
clknet_leaf_153_clk,64.1
_09141_,64.08
_14004_,64.08
_05599_,63.98
_09017_,63.96
_06586_,63.885
_10009_,63.88
_10204_,63.78
_08902_,63.72
clknet_1_0__leaf__10199_,63.67
clknet_leaf_45_clk,63.62
datamem.data_ram\[19\]\[6\],63.6
_13639_,63.59
_09097_,63.58
_05566_,63.565
_07889_,63.52
_09989_,63.5
clknet_leaf_278_clk,63.45
_07524_,63.42
_05508_,63.38
_05543_,63.38
_09539_,63.38
clknet_leaf_89_clk,63.34
_08608_,63.32
_11536_,63.3
_13597_,63.27
clknet_leaf_281_clk,63.1
datamem.data_ram\[9\]\[0\],63.08
net103,63.04
_06129_,63.02
clknet_leaf_82_clk,63.02
_13494_,62.92
_07985_,62.89
_07012_,62.84
_10078_,62.84
_07724_,62.74
_09707_,62.72
datamem.data_ram\[51\]\[1\],62.72
_08396_,62.7
_09388_,62.7
_11897_,62.7
_12564_,62.7
clknet_leaf_50_clk,62.66
clknet_leaf_251_clk,62.655
_06580_,62.62
datamem.data_ram\[10\]\[1\],62.62
_11339_,62.56
_06834_,62.54
_09269_,62.53
datamem.data_ram\[0\]\[6\],62.52
_10139_,62.41
_08976_,62.34
_05180_,62.28
_10984_,62.28
net119,62.26
_09884_,62.18
_08860_,62.16
_10406_,62.16
_11340_,62.16
_11556_,62.08
_04937_,62.06
clknet_leaf_39_clk,62.06
_11899_,62.04
_13656_,62.04
_05179_,61.94
clknet_leaf_150_clk,61.94
_08247_,61.92
_06915_,61.88
_13545_,61.88
_05454_,61.86
_04465_,61.84
_09962_,61.82
clknet_1_1__leaf__11601_,61.82
datamem.data_ram\[34\]\[2\],61.8
_07503_,61.72
_05829_,61.68
_06164_,61.68
_07944_,61.62
_01030_,61.505
datamem.data_ram\[26\]\[3\],61.46
_02998_,61.455
_05549_,61.385
_09595_,61.38
rvcpu.ALUResultE\[17\],61.305
_10153_,61.3
_05630_,61.21
_09858_,61.2
clknet_1_1__leaf__10247_,61.14
clknet_1_1__leaf__10197_,61.13
_13537_,61.06
clknet_leaf_121_clk,61.04
_05988_,61
_08959_,61
_06174_,60.96
_07298_,60.96
datamem.data_ram\[15\]\[6\],60.78
_11726_,60.7
clknet_0__10222_,60.68
_01036_,60.665
_06562_,60.62
datamem.data_ram\[35\]\[2\],60.62
_11941_,60.6
_08264_,60.56
clknet_1_1__leaf__10106_,60.44
_09046_,60.41
_07940_,60.4
_11066_,60.3
_05386_,60.28
_13893_,60.26
_13975_,60.22
rvcpu.dp.plde.PCE\[0\],60.2
rvcpu.dp.rf.reg_file_arr\[7\]\[27\],60.2
_06923_,60.18
rvcpu.c.ad.opb5,60.18
datamem.data_ram\[5\]\[0\],60.17
_05937_,60.12
rvcpu.dp.plde.Rs2E\[0\],60.09
_06218_,60.08
_07534_,60.08
clknet_1_0__leaf__10191_,59.95
_13280_,59.94
_01033_,59.925
_11952_,59.92
clknet_1_1__leaf__10161_,59.89
_07419_,59.74
_09648_,59.7
clknet_leaf_260_clk,59.7
_13178_,59.67
clknet_1_1__leaf__10226_,59.6
_09881_,59.56
_08792_,59.5
clknet_1_1__leaf__10175_,59.49
_03142_,59.465
rvcpu.dp.plfd.InstrD\[14\],59.4
_09100_,59.36
clknet_leaf_265_clk,59.36
datamem.data_ram\[17\]\[1\],59.3
_05660_,59.28
_05408_,59.27
_06354_,59.26
_06425_,59.24
_12841_,59.24
_13794_,59.24
_06350_,59.23
_07213_,59.08
clknet_leaf_3_clk,59.08
_09693_,59.06
_09645_,59.04
_11853_,58.98
_07689_,58.93
_07277_,58.84
datamem.data_ram\[8\]\[2\],58.78
_11558_,58.74
clknet_leaf_229_clk,58.74
clknet_1_0__leaf__10127_,58.73
_13536_,58.68
clknet_1_1__leaf__10239_,58.65
clknet_1_1__leaf__10105_,58.58
clknet_leaf_32_clk,58.56
_07313_,58.52
rvcpu.dp.plmw.PCPlus4W\[5\],58.52
clknet_leaf_60_clk,58.5
_12159_,58.49
_11097_,58.42
clknet_0__10155_,58.41
_06143_,58.38
_09816_,58.34
clknet_1_0__leaf__10206_,58.26
_07173_,58.24
_13379_,58.06
_10223_,58.03
rvcpu.ALUResultE\[12\],58.02
_09803_,58
clknet_leaf_149_clk,57.94
_08834_,57.88
rvcpu.dp.rf.reg_file_arr\[24\]\[19\],57.82
_05922_,57.74
rvcpu.dp.rf.reg_file_arr\[29\]\[28\],57.73
rvcpu.dp.rf.reg_file_arr\[24\]\[14\],57.72
_08953_,57.64
_09493_,57.62
net10,57.62
_06047_,57.58
clknet_leaf_279_clk,57.53
clknet_leaf_44_clk,57.46
_06001_,57.42
_09066_,57.42
clknet_leaf_165_clk,57.42
_05978_,57.32
clknet_1_1__leaf__10135_,57.32
_12107_,57.3
_09827_,57.2
_05879_,57.155
_10105_,57.14
_10208_,57.12
_12076_,57.12
datamem.data_ram\[52\]\[1\],57
_09711_,56.98
clknet_leaf_196_clk,56.98
_05798_,56.97
clknet_0__10078_,56.93
_09667_,56.92
_06096_,56.9
clknet_1_1__leaf__10227_,56.8
_05419_,56.78
_11096_,56.78
clknet_leaf_100_clk,56.76
clknet_leaf_249_clk,56.76
_12019_,56.72
_10602_,56.7
_05711_,56.66
_09845_,56.66
_13944_,56.62
_09867_,56.6
clknet_leaf_206_clk,56.58
rvcpu.dp.pcreg.q\[8\],56.52
net1776,56.52
datamem.data_ram\[34\]\[0\],56.5
_10337_,56.42
_10327_,56.36
_13422_,56.3
clknet_leaf_54_clk,56.26
_11866_,56.24
_07333_,56.18
_07516_,56.14
_10159_,56.08
_06077_,56.06
_08522_,56.02
_08886_,55.98
_07930_,55.84
_08664_,55.82
datamem.data_ram\[36\]\[5\],55.82
clknet_1_0__leaf__10125_,55.82
_13600_,55.8
clknet_leaf_193_clk,55.735
_11785_,55.67
datamem.data_ram\[0\]\[7\],55.65
clknet_0__10259_,55.64
_11111_,55.6
clknet_leaf_83_clk,55.6
_08179_,55.56
clknet_leaf_19_clk,55.49
net1808,55.44
_13566_,55.32
_13955_,55.32
clknet_1_1__leaf__10137_,55.31
_07712_,55.3
_11910_,55.28
_08876_,55.14
_08997_,55.1
datamem.data_ram\[52\]\[6\],55.02
rvcpu.dp.rf.reg_file_arr\[18\]\[27\],55.02
clknet_leaf_230_clk,55.02
rvcpu.dp.rf.reg_file_arr\[23\]\[24\],54.96
rvcpu.dp.plmw.ReadDataW\[19\],54.94
_09820_,54.92
_05009_,54.9
_07572_,54.9
_13323_,54.9
clknet_1_0__leaf__10111_,54.9
rvcpu.dp.rf.reg_file_arr\[22\]\[27\],54.88
_05318_,54.86
_10242_,54.86
clknet_leaf_16_clk,54.86
datamem.data_ram\[53\]\[10\],54.8
net1289,54.785
_07688_,54.78
_09459_,54.78
_10133_,54.78
clknet_0__10125_,54.72
_06315_,54.705
net1288,54.7
_09966_,54.68
_13555_,54.68
_08623_,54.66
_06316_,54.64
_10258_,54.64
rvcpu.dp.plde.PCE\[24\],54.64
_12077_,54.58
_06251_,54.56
_08655_,54.5
_13696_,54.5
_12233_,54.44
datamem.data_ram\[52\]\[4\],54.4
clknet_leaf_73_clk,54.38
datamem.data_ram\[26\]\[7\],54.355
_05678_,54.32
_08921_,54.32
_05872_,54.26
_08233_,54.26
clknet_1_0__leaf__10198_,54.25
_05226_,54.18
rvcpu.dp.plmw.lAuiPCW\[9\],54.1
_06045_,54.08
_13450_,54.06
_10085_,54.05
_07058_,54.02
datamem.data_ram\[2\]\[20\],53.98
_06185_,53.97
_05772_,53.96
_08930_,53.96
_09207_,53.96
_09939_,53.96
clknet_leaf_175_clk,53.945
clknet_leaf_224_clk,53.92
clknet_leaf_243_clk,53.86
clknet_leaf_14_clk,53.8
_10219_,53.74
_09514_,53.72
rvcpu.dp.rf.reg_file_arr\[24\]\[16\],53.66
datamem.data_ram\[51\]\[3\],53.6
_10950_,53.58
clknet_leaf_277_clk,53.555
_08990_,53.54
clknet_leaf_126_clk,53.52
_10156_,53.48
_08181_,53.42
_09685_,53.38
_04755_,53.34
_11318_,53.34
datamem.data_ram\[24\]\[6\],53.3
_06203_,53.28
_10264_,53.28
_07221_,53.26
clknet_leaf_259_clk,53.22
clknet_leaf_186_clk,53.16
clknet_leaf_201_clk,53.14
rvcpu.dp.plem.ALUResultM\[30\],53.1
_09755_,53.06
rvcpu.dp.plmw.ResultSrcW\[0\],53.04
rvcpu.dp.rf.reg_file_arr\[7\]\[7\],52.98
_05194_,52.96
_06330_,52.96
rvcpu.dp.rf.reg_file_arr\[15\]\[11\],52.92
_05950_,52.88
rvcpu.dp.rf.reg_file_arr\[29\]\[24\],52.85
_09997_,52.84
datamem.data_ram\[58\]\[5\],52.8
_06032_,52.78
_05841_,52.76
datamem.data_ram\[8\]\[0\],52.74
_08048_,52.72
_13829_,52.69
rvcpu.dp.plfd.InstrD\[12\],52.66
_10082_,52.62
net114,52.58
_10106_,52.57
_07885_,52.5
rvcpu.dp.hu.ResultSrcE0,52.5
rvcpu.dp.rf.reg_file_arr\[24\]\[25\],52.46
clknet_leaf_85_clk,52.46
_06149_,52.44
clknet_1_0__leaf__10136_,52.44
clknet_0__10220_,52.42
clknet_0__10265_,52.41
_05642_,52.4
datamem.data_ram\[26\]\[5\],52.38
net1315,52.38
_12612_,52.36
_13760_,52.32
_13813_,52.32
net6,52.32
_07041_,52.28
_05661_,52.275
clknet_leaf_94_clk,52.255
clknet_leaf_225_clk,52.24
clknet_0__10130_,52.23
_13841_,52.21
_09168_,52.18
_05619_,52.14
datamem.data_ram\[28\]\[20\],52.14
_05539_,52.12
_06983_,52.04
_05395_,52.02
_05497_,52.02
_05996_,52
datamem.data_ram\[2\]\[17\],51.94
_06258_,51.92
_08756_,51.88
_08728_,51.84
_10404_,51.84
_10007_,51.74
_05907_,51.73
datamem.data_ram\[52\]\[5\],51.72
_07320_,51.7
rvcpu.dp.plmw.lAuiPCW\[8\],51.7
_05406_,51.685
_09522_,51.66
_06031_,51.58
_12602_,51.58
_13575_,51.58
clknet_leaf_72_clk,51.58
_10224_,51.56
_09844_,51.52
_08023_,51.5
_08936_,51.48
_11911_,51.46
rvcpu.dp.rf.reg_file_arr\[24\]\[10\],51.34
_05588_,51.32
_13471_,51.32
_09672_,51.28
rvcpu.dp.pcreg.q\[3\],51.28
rvcpu.dp.plde.unsignE,51.22
rvcpu.dp.SrcBFW_Mux.y\[13\],51.16
rvcpu.dp.plmw.ReadDataW\[18\],51.16
_07965_,51.13
_08978_,51.12
_09127_,51.12
_13783_,51.1
clknet_leaf_188_clk,51.08
clknet_0__10138_,51.05
_10109_,51.02
_09748_,51
clknet_leaf_34_clk,51
rvcpu.dp.rf.reg_file_arr\[26\]\[25\],50.98
net110,50.92
rvcpu.dp.plde.RD1E\[8\],50.915
_10202_,50.9
_13687_,50.88
_08640_,50.84
_05425_,50.825
rvcpu.dp.plde.RdE\[0\],50.82
_09959_,50.78
clknet_0__10240_,50.7
_05706_,50.66
_09911_,50.62
net117,50.62
_07641_,50.6
_04424_,50.52
clknet_leaf_200_clk,50.49
_13791_,50.48
_09015_,50.44
rvcpu.dp.rf.reg_file_arr\[0\]\[11\],50.44
clknet_0__10112_,50.38
rvcpu.dp.plde.PCE\[25\],50.36
rvcpu.dp.plmw.lAuiPCW\[17\],50.36
rvcpu.dp.rf.reg_file_arr\[29\]\[25\],50.35
rvcpu.dp.rf.reg_file_arr\[24\]\[31\],50.34
_05274_,50.32
_08690_,50.3
clknet_1_0__leaf__10193_,50.2
rvcpu.dp.rf.reg_file_arr\[24\]\[4\],50.16
_09544_,50.14
_08419_,50.12
_07538_,50.01
_08896_,50
clknet_0__10082_,49.98
_07886_,49.96
_05926_,49.86
_06517_,49.86
rvcpu.dp.rf.reg_file_arr\[0\]\[10\],49.86
_09498_,49.82
_10960_,49.82
clknet_leaf_137_clk,49.76
_07640_,49.7
_10195_,49.64
datamem.data_ram\[15\]\[0\],49.64
_06010_,49.62
datamem.data_ram\[11\]\[1\],49.6
clknet_0__10221_,49.59
rvcpu.dp.rf.reg_file_arr\[23\]\[27\],49.56
_07778_,49.54
_09440_,49.36
clknet_leaf_112_clk,49.32
rvcpu.dp.plfd.InstrD\[4\],49.3
clknet_0__10102_,49.27
_08395_,49.2
datamem.data_ram\[19\]\[5\],49.16
_08108_,49.14
_08769_,49.12
_10088_,49.1
clknet_leaf_9_clk,49.1
_06025_,49.09
_11193_,49.08
rvcpu.dp.plmw.ReadDataW\[17\],49
_05928_,48.92
datamem.data_ram\[2\]\[23\],48.9
_05385_,48.88
_13478_,48.86
_07390_,48.84
_09908_,48.82
_10086_,48.8
_12325_,48.8
_09016_,48.78
_03212_,48.745
rvcpu.dp.rf.reg_file_arr\[24\]\[24\],48.7
_13593_,48.62
rvcpu.dp.plmw.ReadDataW\[11\],48.62
clknet_leaf_115_clk,48.62
_06206_,48.6
_13916_,48.58
_03029_,48.5
clknet_0__10124_,48.48
datamem.data_ram\[16\]\[0\],48.365
_07696_,48.36
rvcpu.dp.rf.reg_file_arr\[19\]\[7\],48.36
clknet_0__10181_,48.31
_08210_,48.3
_09917_,48.28
_07088_,48.26
_05765_,48.22
_06461_,48.09
_09613_,48.02
datamem.data_ram\[36\]\[3\],47.98
_08489_,47.95
clknet_0__10129_,47.92
_09582_,47.875
_09773_,47.86
_10601_,47.86
_06847_,47.84
_04439_,47.82
_05846_,47.78
_07089_,47.68
_10104_,47.68
_11350_,47.62
_01129_,47.605
_05346_,47.56
_09210_,47.56
clknet_1_1__leaf__10078_,47.56
_06026_,47.54
_07348_,47.54
_14088_,47.52
rvcpu.dp.plfd.InstrD\[31\],47.52
_09949_,47.44
clknet_leaf_6_clk,47.44
_09105_,47.4
_13643_,47.4
_13641_,47.34
datamem.data_ram\[53\]\[5\],47.34
rvcpu.dp.plem.RdM\[3\],47.24
_06097_,47.22
_07567_,47.1
_09055_,47.1
_09767_,47.1
_10081_,47.1
_13793_,47.1
_10178_,47.06
clknet_0__10208_,47.06
rvcpu.dp.plmw.lAuiPCW\[31\],47.02
clknet_0__10137_,46.97
_07751_,46.94
datamem.data_ram\[7\]\[5\],46.9
_09742_,46.86
_07208_,46.82
_11602_,46.8
clknet_1_0__leaf__10259_,46.8
rvcpu.dp.rf.reg_file_arr\[2\]\[7\],46.795
_06842_,46.76
_07152_,46.72
clknet_0__10089_,46.72
_07288_,46.68
_08471_,46.68
_06567_,46.66
_11547_,46.66
datamem.data_ram\[10\]\[3\],46.66
_07657_,46.64
_13527_,46.64
rvcpu.dp.rf.reg_file_arr\[22\]\[22\],46.635
_07008_,46.6
_09556_,46.6
_10102_,46.58
_05738_,46.54
rvcpu.dp.plem.RdM\[1\],46.52
clknet_0__10110_,46.52
_08159_,46.505
rvcpu.dp.plmw.PCPlus4W\[31\],46.5
datamem.data_ram\[62\]\[1\],46.48
_05897_,46.4
_07813_,46.4
_13692_,46.38
_12075_,46.36
rvcpu.dp.rf.reg_file_arr\[24\]\[8\],46.34
clknet_1_0__leaf__10173_,46.34
rvcpu.dp.plde.PCPlus4E\[5\],46.32
clknet_1_1__leaf__10083_,46.32
clknet_leaf_262_clk,46.28
_08351_,46.22
rvcpu.dp.plfd.PCPlus4D\[9\],46.22
clknet_1_0__leaf__10226_,46.22
_07622_,46.18
datamem.data_ram\[52\]\[10\],46.18
rvcpu.dp.plmw.ReadDataW\[10\],46.18
_09871_,46.16
clknet_leaf_20_clk,46.15
_05825_,46.14
_07471_,46.14
_13481_,46.14
_05547_,46.105
rvcpu.dp.plde.RD1E\[13\],46.1
datamem.data_ram\[60\]\[19\],46.02
_10091_,46
datamem.data_ram\[58\]\[16\],46
clknet_0__10241_,45.95
_08020_,45.94
rvcpu.dp.rf.reg_file_arr\[0\]\[28\],45.92
datamem.data_ram\[5\]\[10\],45.86
_10246_,45.84
clknet_0__10258_,45.81
_12622_,45.78
datamem.data_ram\[0\]\[13\],45.78
_09187_,45.72
_10203_,45.72
_05857_,45.7
_07492_,45.68
_06836_,45.64
datamem.data_ram\[58\]\[0\],45.64
_05962_,45.52
_05331_,45.44
datamem.data_ram\[58\]\[1\],45.44
_05637_,45.4
rvcpu.dp.plmw.PCPlus4W\[17\],45.4
_06558_,45.395
_11444_,45.38
_05466_,45.34
_10175_,45.24
clknet_1_0__leaf__10088_,45.24
clknet_0__10243_,45.16
_09122_,45.14
_11313_,45.14
rvcpu.dp.rf.reg_file_arr\[5\]\[7\],45.06
_10200_,45.04
_07956_,45.02
clknet_0__10264_,45.01
_08529_,44.99
_06583_,44.96
rvcpu.dp.rf.reg_file_arr\[24\]\[18\],44.96
_07259_,44.94
_10158_,44.9
rvcpu.dp.plmw.ReadDataW\[15\],44.9
rvcpu.dp.plmw.ReadDataW\[8\],44.88
_05368_,44.82
datamem.data_ram\[62\]\[3\],44.82
_06159_,44.81
rvcpu.dp.rf.reg_file_arr\[2\]\[6\],44.805
net1300,44.8
datamem.data_ram\[45\]\[6\],44.785
clknet_leaf_11_clk,44.76
datamem.data_ram\[20\]\[23\],44.72
_08163_,44.7
_07634_,44.68
_09158_,44.68
datamem.data_ram\[1\]\[14\],44.64
clknet_0__10152_,44.63
rvcpu.dp.rf.reg_file_arr\[5\]\[30\],44.6
clknet_leaf_143_clk,44.6
_05369_,44.54
rvcpu.dp.rf.reg_file_arr\[20\]\[5\],44.54
_05429_,44.52
_13957_,44.46
datamem.data_ram\[54\]\[5\],44.46
_10248_,44.44
_10128_,44.41
_08807_,44.34
_13986_,44.26
_13394_,44.24
_08067_,44.22
clknet_leaf_8_clk,44.2
_09968_,44.18
datamem.data_ram\[10\]\[7\],44.16
clknet_0__10178_,44.16
_13549_,44.08
_08814_,44.02
_10201_,44.02
_08940_,44
_09727_,43.92
_10006_,43.92
_01126_,43.885
net1183,43.885
_11317_,43.88
_11663_,43.88
_09110_,43.86
_10206_,43.85
rvcpu.dp.rf.reg_file_arr\[21\]\[11\],43.84
rvcpu.dp.rf.reg_file_arr\[0\]\[13\],43.8
rvcpu.dp.plde.PCPlus4E\[3\],43.78
_11560_,43.76
_10130_,43.71
_05647_,43.69
_13785_,43.68
datamem.data_ram\[51\]\[6\],43.66
_10239_,43.58
datamem.data_ram\[14\]\[6\],43.58
_13480_,43.55
rvcpu.dp.plfd.InstrD\[9\],43.54
_10010_,43.52
_10191_,43.52
_05780_,43.5
_08086_,43.46
_09039_,43.46
clknet_0__10172_,43.43
rvcpu.ALUResultE\[15\],43.425
_05193_,43.3
_11316_,43.3
_09853_,43.26
rvcpu.dp.rf.reg_file_arr\[2\]\[28\],43.25
_10207_,43.16
_06897_,43.125
_06062_,43.12
net111,43.09
_07951_,43.08
_09955_,43.08
_06257_,43.04
_13603_,43.035
_13939_,43.02
_13685_,43.005
clknet_leaf_4_clk,42.96
datamem.data_ram\[8\]\[3\],42.94
clknet_leaf_2_clk,42.93
_06076_,42.88
_06231_,42.84
_09722_,42.84
clknet_0__10245_,42.82
_05821_,42.8
_09023_,42.8
_07511_,42.68
datamem.data_ram\[10\]\[6\],42.68
_06421_,42.62
_08545_,42.58
_10029_,42.58
_05481_,42.54
_05830_,42.54
_08668_,42.54
_13585_,42.54
datamem.data_ram\[52\]\[12\],42.54
_09136_,42.52
_09480_,42.5
rvcpu.dp.rf.reg_file_arr\[28\]\[27\],42.5
_09702_,42.46
_10997_,42.46
_05238_,42.36
datamem.data_ram\[54\]\[3\],42.34
datamem.data_ram\[5\]\[12\],42.34
_06607_,42.3
clknet_1_1__leaf__10136_,42.3
_07267_,42.26
datamem.data_ram\[25\]\[2\],42.26
net1306,42.26
_11601_,42.22
_13835_,42.18
_05781_,42.16
_09435_,42.16
_06248_,42.14
rvcpu.dp.rf.reg_file_arr\[24\]\[27\],42.14
_08644_,42.12
_06067_,42.08
_13927_,42.08
_09678_,42.06
_05510_,42.04
_06294_,41.98
_06290_,41.96
datamem.data_ram\[14\]\[0\],41.92
datamem.data_ram\[26\]\[1\],41.915
_06027_,41.895
_07929_,41.82
_10134_,41.82
rvcpu.dp.plde.RD1E\[0\],41.82
_09502_,41.8
rvcpu.dp.plem.RdM\[0\],41.78
_08204_,41.76
datamem.data_ram\[53\]\[1\],41.76
rvcpu.dp.plde.RD1E\[2\],41.7
_12346_,41.68
datamem.data_ram\[42\]\[1\],41.68
_11200_,41.64
rvcpu.dp.plde.Rs1E\[3\],41.64
rvcpu.dp.plfd.PCPlus4D\[29\],41.64
_06052_,41.62
_12335_,41.62
_13984_,41.62
_05545_,41.51
_09396_,41.5
clknet_leaf_95_clk,41.46
clknet_0__10087_,41.45
_08087_,41.42
_09752_,41.42
rvcpu.dp.rf.reg_file_arr\[5\]\[29\],41.36
rvcpu.dp.plem.RdM\[2\],41.35
_09172_,41.3
datamem.data_ram\[42\]\[4\],41.3
rvcpu.dp.plmw.ALUResultW\[28\],41.28
_07366_,41.26
_13008_,41.24
rvcpu.dp.plde.Rs1E\[2\],41.24
_08633_,41.2
_13864_,41.16
rvcpu.dp.rf.reg_file_arr\[13\]\[31\],41.14
_08998_,41.1
net1174,41.085
_09775_,41.08
_11541_,41.02
rvcpu.dp.rf.reg_file_arr\[13\]\[7\],41.02
rvcpu.dp.rf.reg_file_arr\[29\]\[16\],41.015
rvcpu.dp.rf.reg_file_arr\[22\]\[14\],40.995
datamem.data_ram\[8\]\[4\],40.96
_07662_,40.94
_09851_,40.94
_12537_,40.84
rvcpu.dp.plmw.lAuiPCW\[4\],40.82
rvcpu.dp.rf.reg_file_arr\[19\]\[8\],40.8
_10129_,40.78
rvcpu.dp.rf.reg_file_arr\[16\]\[31\],40.73
_07736_,40.72
_11309_,40.72
datamem.data_ram\[27\]\[14\],40.72
clknet_1_1__leaf__10203_,40.72
_10266_,40.7
rvcpu.dp.rf.reg_file_arr\[5\]\[28\],40.7
_10003_,40.66
rvcpu.dp.plde.RD1E\[3\],40.66
datamem.data_ram\[26\]\[0\],40.62
net1849,40.62
_05762_,40.58
_07628_,40.58
rvcpu.dp.rf.reg_file_arr\[29\]\[31\],40.565
_06939_,40.56
_14021_,40.54
rvcpu.dp.plde.RD1E\[10\],40.54
_10021_,40.52
datamem.data_ram\[61\]\[18\],40.5
_13623_,40.48
_08961_,40.46
_09771_,40.44
_05777_,40.42
datamem.data_ram\[55\]\[19\],40.42
_06430_,40.4
rvcpu.dp.rf.reg_file_arr\[26\]\[22\],40.39
_09000_,40.38
datamem.data_ram\[25\]\[22\],40.34
_08927_,40.3
_05187_,40.28
_08905_,40.28
_05673_,40.2
_05900_,40.2
_07780_,40.2
_08894_,40.18
_05227_,40.16
_12592_,40.16
_07145_,40.12
_13769_,40.12
rvcpu.dp.rf.reg_file_arr\[31\]\[28\],40.1
datamem.data_ram\[2\]\[1\],40.08
_13898_,40.06
_09587_,40.04
_10227_,40.04
_09812_,40.02
_05904_,40
rvcpu.dp.rf.reg_file_arr\[10\]\[26\],40
_06991_,39.98
datamem.data_ram\[30\]\[0\],39.98
rvcpu.dp.rf.reg_file_arr\[31\]\[24\],39.96
_08506_,39.9
rvcpu.dp.rf.reg_file_arr\[18\]\[2\],39.87
_09064_,39.86
_09922_,39.82
_12403_,39.82
_13906_,39.79
rvcpu.dp.plde.RD1E\[20\],39.76
_05643_,39.68
_05908_,39.58
_08490_,39.58
_10262_,39.57
_09836_,39.56
rvcpu.dp.rf.reg_file_arr\[7\]\[4\],39.54
rvcpu.dp.pcreg.q\[26\],39.5
_09054_,39.46
datamem.data_ram\[37\]\[5\],39.46
_08929_,39.44
rvcpu.dp.rf.reg_file_arr\[20\]\[0\],39.42
_13983_,39.4
_10154_,39.36
rvcpu.dp.rf.reg_file_arr\[24\]\[17\],39.33
clknet_0__11602_,39.28
_06868_,39.24
_07999_,39.24
rvcpu.dp.plmw.ResultSrcW\[1\],39.24
datamem.data_ram\[16\]\[15\],39.14
_09971_,39.12
net1296,39.12
_08321_,39.08
datamem.data_ram\[43\]\[4\],39.06
rvcpu.dp.rf.reg_file_arr\[16\]\[25\],39.06
rvcpu.dp.SrcBFW_Mux.y\[0\],39.045
_07842_,39.04
datamem.data_ram\[42\]\[24\],39.04
_09642_,38.96
_06202_,38.94
rvcpu.dp.plfd.PCPlus4D\[31\],38.94
_10793_,38.92
_10083_,38.91
_08235_,38.9
_09975_,38.9
_08726_,38.86
_14049_,38.86
rvcpu.dp.rf.reg_file_arr\[19\]\[5\],38.86
_08996_,38.84
_05580_,38.8
_08820_,38.78
net121,38.78
clknet_leaf_33_clk,38.74
_10135_,38.72
rvcpu.dp.rf.reg_file_arr\[26\]\[27\],38.69
datamem.data_ram\[31\]\[21\],38.68
rvcpu.dp.rf.reg_file_arr\[4\]\[31\],38.68
_10243_,38.64
datamem.data_ram\[52\]\[0\],38.62
clknet_0__10205_,38.62
clknet_0__10196_,38.62
datamem.data_ram\[62\]\[16\],38.6
_05823_,38.58
datamem.data_ram\[62\]\[2\],38.58
rvcpu.dp.rf.reg_file_arr\[31\]\[25\],38.5
_11173_,38.46
datamem.data_ram\[45\]\[7\],38.44
_08018_,38.4
datamem.data_ram\[9\]\[5\],38.4
rvcpu.dp.rf.reg_file_arr\[29\]\[2\],38.38
_08487_,38.375
_07535_,38.36
_11349_,38.36
_05289_,38.34
_08853_,38.34
rvcpu.dp.pcreg.q\[6\],38.34
rvcpu.dp.rf.reg_file_arr\[25\]\[20\],38.34
