net,length_um
_08528_,530.31
_06670_,529.3
_06823_,529.13
_06812_,529.08
_06930_,528.95
_13289_,528.9
_14191_,528.86
_09281_,528.48
clknet_2_2_0_clk,527.49
_13172_,526.38
_07071_,525.9
_09417_,525.23
_13186_,524.42
_13195_,524.06
_08125_,522.29
_14463_,521.91
_08537_,520.21
_10838_,520.09
_13240_,518.92
_14135_,518.6
_10542_,517.555
_12601_,517.35
_14478_,516.41
_13423_,514.91
_06725_,514.54
_09275_,514.5
_14466_,513.615
_06951_,513.405
_07819_,512.715
_09305_,512.27
_07133_,511.55
_08744_,511.53
_08595_,510.37
_14166_,509.94
_06946_,508.16
_06604_,507.515
rvcpu.dp.plem.ALUResultM\[6\],506.84
_07138_,506.31
_13278_,505.6
_06587_,504.355
net14,503.77
_13204_,501.84
_13234_,501.735
_14459_,501.34
_10072_,500.38
_09443_,499.22
_08124_,498.66
_13200_,498.14
_06920_,496.92
_14127_,496.78
_07859_,495.545
_07691_,495.18
_09415_,494.96
_13212_,494.48
_06937_,493.955
_06644_,493.85
_13210_,493.845
_09399_,490.57
_08825_,490.47
_06796_,490.37
_14453_,490.24
_14474_,490.14
_07461_,487.39
_06966_,486.995
_14468_,486.985
_14451_,485.17
_06668_,484.16
_14133_,483.38
_08555_,481.97
_14139_,481.32
_09392_,480.48
_06942_,479.17
_13250_,478.79
_08578_,478.72
_14461_,478.7
_14137_,477.32
_14432_,477.31
_13184_,476.7
_08519_,476.44
_14170_,475.31
_10141_,475.16
_07070_,474.64
_14164_,474.24
_13243_,473.255
_14449_,472.79
_13275_,472.44
rvcpu.dp.plem.ALUResultM\[7\],470.42
_08628_,470.32
_09484_,470.32
_07159_,469.835
_08592_,469.56
_08724_,469.445
_09558_,469.28
_13194_,469.13
_06811_,465.4
_06862_,464.475
_08533_,464.38
_06925_,463.76
_08133_,463.36
_06640_,462.9
clknet_2_3_0_clk,462.09
_08684_,461.94
_06631_,461.8
_06660_,461.05
_07132_,460.03
_11075_,460.01
_13253_,458.925
_06978_,457.61
clknet_1_0__leaf__10108_,456.86
_13173_,456.73
_14482_,456.06
_14434_,455.5
_13203_,455.3
rvcpu.dp.plem.ALUResultM\[5\],452.43
_09636_,452.36
_07242_,452.34
_08559_,451.52
_09278_,451.09
_06933_,450.52
_10932_,450.35
_13277_,450.205
_13307_,449.49
_13509_,449.375
_10057_,449.36
_10060_,448.48
_09465_,448.27
_10066_,447.34
_10947_,447.34
_13268_,446.805
_06916_,446.78
_10600_,446.57
rvcpu.dp.plde.ImmExtE\[4\],446.47
clknet_2_1_0_clk,445.39
_07131_,445.38
_08353_,443.58
_09329_,442.76
_06921_,442.435
_14447_,442.08
_13886_,441.35
_06958_,441.12
_10063_,440.11
_14168_,439.43
_13197_,438.865
_09422_,438.66
_14480_,438.18
_09434_,437.485
_08696_,437.39
_10741_,435.2
_10047_,434.62
_08683_,434.53
_10598_,434.28
_08673_,433.76
_10777_,432.83
_06718_,432.18
_13247_,429.485
_06623_,429.445
_07136_,428.755
_06969_,427.77
_09463_,427.76
_06976_,426.25
_06977_,426.19
_06961_,425.06
_07137_,424.97
_09227_,424.9
_09418_,424.08
_06712_,422.85
_09266_,422.54
_06669_,421.57
_06585_,420.84
_10041_,418.09
rvcpu.dp.plde.ImmExtE\[2\],417.81
_08548_,417.2
_09635_,417.01
_08540_,415.48
rvcpu.dp.plde.ImmExtE\[3\],415.4
_06616_,411.7
_05347_,408.94
_14455_,408.84
_07127_,408.41
_14476_,408.085
_06932_,407.215
_13348_,406.415
_08518_,405.54
_06985_,404.89
_09380_,403.66
_06909_,401.17
_09255_,399.97
_06928_,399.11
_08536_,399.09
_08552_,397.74
_08622_,397.7
_13256_,395.52
_09400_,395.07
datamem.data_ram\[52\]\[28\],391.53
_08629_,390.67
_09469_,390.25
_13259_,389.45
_06989_,389.335
_06943_,388.49
_06926_,388.17
_13434_,387.69
_13424_,387.2
_14486_,386.02
_10778_,385.56
_06952_,385.455
_06993_,385.04
rvcpu.dp.plde.ImmExtE\[5\],383.56
_06656_,382.75
_07413_,382.21
_10044_,382.19
_08535_,379.72
_07862_,379.32
rvcpu.dp.plde.ImmExtE\[9\],379.27
rvcpu.dp.plde.ImmExtE\[8\],377.08
_09259_,377.07
_07367_,376.33
_09446_,376.2
_10075_,374.66
clknet_5_18__leaf_clk,374.43
_04538_,374.36
_06643_,374.06
_10410_,373.68
rvcpu.dp.plde.ImmExtE\[7\],373.06
rvcpu.dp.plfd.InstrD\[16\],372.74
_14428_,371.13
_09247_,370.11
_09381_,369.78
_09457_,369.53
_07858_,369.42
_13262_,369.3
rvcpu.dp.plde.ImmExtE\[1\],369.29
_08636_,368.93
_06624_,367.16
_06955_,367.02
_13292_,366.81
_09512_,366.39
_14484_,365.88
_13271_,363.59
rvcpu.dp.plde.ImmExtE\[6\],363.06
_10897_,362.74
_09517_,362.46
_08589_,361.715
_11970_,361.54
_06997_,360.18
_14347_,359.9
_11946_,359.87
rvcpu.dp.plde.ImmExtE\[10\],359.7
_08778_,357.83
_07122_,357.73
_09251_,356.61
_06936_,356.23
rvcpu.dp.plem.ALUResultM\[12\],354.89
_11822_,354.57
_11827_,353.72
_09577_,353.04
_14273_,352.93
_13274_,352.255
rvcpu.dp.plde.ImmExtE\[11\],351.07
_08517_,350.78
_09513_,350.38
_08686_,350.04
_10668_,349.74
_08743_,349.385
_09393_,348.89
_13672_,348.47
_08835_,348.29
_09235_,348.18
_11825_,347.75
_07737_,346.73
_12178_,346.5
_11078_,346.04
net91,345.53
_11083_,345.18
_14440_,344.85
net16,343.46
_09416_,343.39
clknet_5_16__leaf_clk,343.2
_09390_,343.17
_11829_,343.075
_06665_,342.37
_08682_,342.11
_09656_,341.1
_11713_,340.14
_09608_,339.99
_09485_,339.98
_13176_,338.91
_13265_,338.21
_09721_,337.26
_13189_,336.89
_09447_,336.585
rvcpu.dp.plde.ImmExtE\[13\],336.16
_09511_,335.88
_08532_,335.74
_07123_,335.56
net51,335.51
_06948_,335.46
_08721_,335.11
rvcpu.dp.plfd.InstrD\[15\],334.8
_10543_,333.795
_13513_,333.52
_10878_,332.68
_08566_,332.53
_13174_,332.225
_14436_,332.2
_08899_,331.58
_11086_,331.48
_13336_,330.64
_13823_,330.62
_14090_,329.46
_08569_,329.16
_08509_,328.57
net45,328.57
_11157_,328.25
_11833_,327.97
_08513_,327.9
_09394_,327.44
_08842_,326.96
_09461_,326.06
_11533_,325.71
net81,325.035
_08123_,324.46
net49,324.46
_10570_,324.34
_08524_,324.21
clknet_5_17__leaf_clk,324.17
net87,324.07
_09449_,324.03
_11609_,323.9
_09800_,323.895
net97,323.31
_09452_,323.13
_09239_,323.015
rvcpu.dp.plfd.InstrD\[19\],322.84
net95,322.64
_09223_,322.59
_08971_,322.56
net46,322.18
_13179_,322.14
net1,322.04
net80,321.9
_08637_,321.63
_12678_,321.52
_12786_,321.38
_05886_,321.35
_10780_,321.23
_11645_,321.03
net62,320.88
_11803_,320.6
net76,320.36
_09284_,320.2
_13514_,320.13
clknet_5_4__leaf_clk,320.08
